"gene_id","gene_name","gene_type","Individuals","Tissue","Residual","n.isoforms"
"ENSG00000133678.9","C10orf57","protein_coding",0.087678498,0.126657117,0.785664384,12
"ENSG00000133687.10","TMTC1","protein_coding",0.091734281,0.188100721,0.720164998,11
"ENSG00000133703.7","KRAS","protein_coding",0.078695092,0.190860497,0.730444411,4
"ENSG00000133704.4","IPO8","protein_coding",0.113802636,0.076459604,0.80973776,11
"ENSG00000133706.12","LARS","protein_coding",0.1110675,0.102138779,0.786793721,19
"ENSG00000133731.5","IMPA1","protein_coding",0.086963073,0.087003037,0.82603389,13
"ENSG00000133740.6","E2F5","protein_coding",0.110288601,0.088861726,0.800849672,9
"ENSG00000133773.7","CCDC59","protein_coding",0.080132075,0.10566807,0.814199855,7
"ENSG00000133789.10","SWAP70","protein_coding",0.108991541,0.14275832,0.748250139,7
"ENSG00000133794.12","ARNTL","protein_coding",0.105087684,0.067090772,0.827821544,25
"ENSG00000133800.4","LYVE1","protein_coding",0.060632107,0.243254438,0.696113455,4
"ENSG00000133805.10","AMPD3","protein_coding",0.094564231,0.116746023,0.788689747,18
"ENSG00000133812.10","SBF2","protein_coding",0.100986585,0.155960661,0.743052754,14
"ENSG00000133816.8","MICAL2","protein_coding",0.077092601,0.227899306,0.695008092,32
"ENSG00000133818.8","RRAS2","protein_coding",0.069786537,0.095534979,0.834678484,12
"ENSG00000133835.9","HSD17B4","protein_coding",0.092189461,0.121662432,0.786148108,27
"ENSG00000133858.11","ZFC3H1","protein_coding",0.089830463,0.126279189,0.783890349,12
"ENSG00000133872.8","TMEM66","protein_coding",0.097540443,0.212231585,0.690227972,16
"ENSG00000133884.5","DPF2","protein_coding",0.105052705,0.085371649,0.809575646,12
"ENSG00000133895.9","MEN1","protein_coding",0.101076782,0.079064336,0.819858883,17
"ENSG00000133943.14","C14orf159","protein_coding",0.105067308,0.141113292,0.7538194,35
"ENSG00000133961.13","NUMB","protein_coding",0.09477944,0.088561974,0.816658585,35
"ENSG00000133983.9","COX16","protein_coding",0.135542207,0.090345788,0.774112005,4
"ENSG00000133997.7","MED6","protein_coding",0.104004847,0.105194607,0.790800545,11
"ENSG00000134001.7","EIF2S1","protein_coding",0.116274431,0.11665888,0.767066689,7
"ENSG00000134013.10","LOXL2","protein_coding",0.100043256,0.085375067,0.814581677,15
"ENSG00000134014.11","ELP3","protein_coding",0.09903753,0.071570879,0.829391591,21
"ENSG00000134030.7","CTIF","protein_coding",0.072457319,0.175428959,0.752113722,3
"ENSG00000134046.6","MBD2","protein_coding",0.088046935,0.272898935,0.63905413,2
"ENSG00000134056.6","MRPS36","protein_coding",0.140175883,0.087941524,0.771882593,4
"ENSG00000134057.10","CCNB1","protein_coding",0.079298766,0.080611148,0.840090086,7
"ENSG00000134058.6","CDK7","protein_coding",0.106334447,0.060625978,0.833039575,13
"ENSG00000134072.6","CAMK1","protein_coding",0.09136898,0.151126602,0.757504418,6
"ENSG00000134077.10","THUMPD3","protein_coding",0.130552263,0.096067887,0.77337985,10
"ENSG00000134086.6","VHL","protein_coding",0.11023932,0.153167834,0.736592847,4
"ENSG00000134107.4","BHLHE40","protein_coding",0.081280119,0.37761762,0.54110226,3
"ENSG00000134108.7","ARL8B","protein_coding",0.143146101,0.133744979,0.723108919,8
"ENSG00000134109.5","EDEM1","protein_coding",0.101028153,0.080914572,0.818057275,8
"ENSG00000134152.6","C15orf29","protein_coding",0.10120904,0.119247673,0.779543286,17
"ENSG00000134153.5","C15orf24","protein_coding",0.09873162,0.108593057,0.792675323,4
"ENSG00000134184.7","GSTM1","protein_coding",0.12100786,0.121813618,0.757178522,8
"ENSG00000134186.7","PRPF38B","protein_coding",0.083585554,0.157453053,0.758961393,5
"ENSG00000134198.5","TSPAN2","protein_coding",0.111852232,0.063908102,0.824239666,5
"ENSG00000134201.5","GSTM5","protein_coding",0.096737552,0.073619315,0.829643133,7
"ENSG00000134202.6","GSTM3","protein_coding",0.091205349,0.304310365,0.604484286,6
"ENSG00000134215.11","VAV3","protein_coding",0.097457997,0.153825971,0.748716032,17
"ENSG00000134222.11","PSRC1","protein_coding",0.085413603,0.079422538,0.835163859,13
"ENSG00000134243.7","SORT1","protein_coding",0.098513698,0.230278622,0.67120768,9
"ENSG00000134247.8","PTGFRN","protein_coding",0.097518326,0.192902055,0.709579619,4
"ENSG00000134248.8","HBXIP","protein_coding",0.130681347,0.131573943,0.73774471,5
"ENSG00000134250.11","NOTCH2","protein_coding",0.103863146,0.173923697,0.722213157,9
"ENSG00000134255.9","CEPT1","protein_coding",0.101483407,0.113277895,0.785238698,10
"ENSG00000134262.8","AP4B1","protein_coding",0.092991027,0.092510037,0.814498936,15
"ENSG00000134265.6","NAPG","protein_coding",0.099323157,0.296794932,0.603881911,2
"ENSG00000134278.9","SPIRE1","protein_coding",0.085659554,0.17032474,0.744015706,12
"ENSG00000134283.12","PPHLN1","protein_coding",0.099844608,0.109314769,0.790840623,23
"ENSG00000134285.6","FKBP11","protein_coding",0.088194967,0.108430098,0.803374935,13
"ENSG00000134287.4","ARF3","protein_coding",0.08467933,0.28313903,0.63218164,11
"ENSG00000134291.7","TMEM106C","protein_coding",0.099099571,0.089530419,0.811370009,21
"ENSG00000134294.9","SLC38A2","protein_coding",0.100627531,0.146085001,0.753287467,13
"ENSG00000134308.8","YWHAQ","protein_coding",0.09827282,0.186651163,0.715076017,6
"ENSG00000134313.9","KIDINS220","protein_coding",0.084901203,0.234380597,0.680718201,15
"ENSG00000134317.13","GRHL1","protein_coding",0.078145056,0.146268384,0.77558656,9
"ENSG00000134318.8","ROCK2","protein_coding",0.105618147,0.100397359,0.793984494,9
"ENSG00000134321.7","RSAD2","protein_coding",0.098283434,0.098301065,0.8034155,6
"ENSG00000134324.7","LPIN1","protein_coding",0.095410095,0.129803478,0.774786427,19
"ENSG00000134326.7","CMPK2","protein_coding",0.111520698,0.086329636,0.802149666,7
"ENSG00000134330.14","IAH1","protein_coding",0.105581503,0.121031931,0.773386566,16
"ENSG00000134333.7","LDHA","protein_coding",0.115001854,0.180158943,0.704839204,26
"ENSG00000134352.14","IL6ST","protein_coding",0.089415823,0.128400016,0.782184161,15
"ENSG00000134369.10","NAV1","protein_coding",0.093916536,0.166260095,0.73982337,14
"ENSG00000134371.8","CDC73","protein_coding",0.106542128,0.098637666,0.794820207,4
"ENSG00000134375.6","TIMM17A","protein_coding",0.096500708,0.339326553,0.564172738,4
"ENSG00000134419.11","RPS15A","protein_coding",0.103830665,0.151690158,0.744479177,13
"ENSG00000134440.6","NARS","protein_coding",0.112593283,0.20559826,0.681808457,4
"ENSG00000134444.8","KIAA1468","protein_coding",0.04649001,0.507455974,0.446054016,2
